candidate_id,source_scope,symbol,timeframe,swing_degree,review_category,start_time,end_time,visible_window_range,count_window_range,count_move_abs,prominence_vs_window,move_prominence_vs_window,count_bars,visible_window_bars,duration_vs_window,relative_structure_size,scale_fit_label,scale_notes,chart_path
abc_exp252_forex_audjpy_h4_minor_abc_004,h4_d1,AUDJPY.r,H4,minor,abc,2025-08-27 00:00:00,2025-09-03 16:00:00,19.557000000000002,1.7550000000000097,1.0889999999999986,0.089738,0.055683,35,900,0.038889,small,not_applicable,not_applicable: prominence=0.090; duration=0.039; degree=minor; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\029_abc_exp252_forex_audjpy_h4_minor_abc_004.png
abc_exp252_metals_xagusd_h4_minor_abc_004,h4_d1,XAGUSD.r,H4,minor,abc,2025-08-27 12:00:00,2025-09-01 08:00:00,84.662,2.672000000000004,2.4209999999999994,0.031561,0.028596,18,900,0.02,small,not_applicable,not_applicable: prominence=0.032; duration=0.020; degree=minor; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\030_abc_exp252_metals_xagusd_h4_minor_abc_004.png
abc_exp252_index_aus200_h4_minor_abc_001,h4_d1,AUS200,H4,minor,abc,2025-08-13 04:00:00,2025-08-25 00:00:00,847.5,238.98000000000138,191.48000000000138,0.281982,0.225935,48,900,0.053333,small,not_applicable,not_applicable: prominence=0.282; duration=0.053; degree=minor; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\031_abc_exp252_index_aus200_h4_minor_abc_001.png
abc_exp252_forex_audjpy_h4_minor_abc_006,h4_d1,AUDJPY.r,H4,minor,abc,2025-08-29 00:00:00,2025-09-12 12:00:00,19.557000000000002,2.638999999999996,2.1979999999999933,0.134939,0.112389,64,900,0.071111,medium_small,not_applicable,not_applicable: prominence=0.135; duration=0.071; degree=minor; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\032_abc_exp252_forex_audjpy_h4_minor_abc_006.png
abc_exp252_forex_audjpy_h4_major_abc_002,h4_d1,AUDJPY.r,H4,major,abc,2025-08-20 16:00:00,2025-09-12 12:00:00,19.557000000000002,4.021000000000001,3.489999999999995,0.205604,0.178453,102,900,0.113333,medium_small,not_applicable,not_applicable: prominence=0.206; duration=0.113; degree=major; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\033_abc_exp252_forex_audjpy_h4_major_abc_002.png
abc_exp252_metals_xagusd_h4_major_abc_002,h4_d1,XAGUSD.r,H4,major,abc,2025-08-20 08:00:00,2025-09-03 16:00:00,84.662,4.506,4.253999999999998,0.053223,0.050247,63,900,0.07,small,not_applicable,not_applicable: prominence=0.053; duration=0.070; degree=major; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\034_abc_exp252_metals_xagusd_h4_major_abc_002.png
abc_exp252_index_aus200_h4_major_abc_001,h4_d1,AUS200,H4,major,abc,2025-08-13 04:00:00,2025-08-25 00:00:00,847.5,238.98000000000138,191.48000000000138,0.281982,0.225935,48,900,0.053333,small,not_applicable,not_applicable: prominence=0.282; duration=0.053; degree=major; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\035_abc_exp252_index_aus200_h4_major_abc_001.png
abc_exp252_forex_audjpy_h4_major_abc_005,h4_d1,AUDJPY.r,H4,major,abc,2025-09-12 12:00:00,2025-10-01 16:00:00,19.557000000000002,1.3910000000000053,0.9029999999999916,0.071125,0.046173,80,900,0.088889,small,not_applicable,not_applicable: prominence=0.071; duration=0.089; degree=major; category=abc,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\036_abc_exp252_forex_audjpy_h4_major_abc_005.png
near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004,h4_d1,AUDJPY.r,H4,intermediate,near_miss,2025-08-27 00:00:00,2025-09-16 00:00:00,19.557000000000002,2.882000000000005,2.4890000000000043,0.147364,0.127269,85,900,0.094444,medium_small,not_applicable,not_applicable: prominence=0.147; duration=0.094; degree=intermediate; category=near_miss,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\037_near_miss_exp252_forex_audjpy_h4_intermediate_impulse_004.png
near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004,h4_d1,XAGUSD.r,H4,intermediate,near_miss,2025-08-27 12:00:00,2025-09-05 16:00:00,84.662,3.3810000000000002,2.7079999999999984,0.039935,0.031986,44,900,0.048889,small,not_applicable,not_applicable: prominence=0.040; duration=0.049; degree=intermediate; category=near_miss,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\charts\negatives\038_near_miss_exp252_metals_xagusd_h4_intermediate_impulse_004.png
