pivot_uid,symbol,timeframe,cut_number,as_of_bar_time,event_type,pivot_type,pivot_detected_at,lookahead_safe
US500_H4_low_2026_01_02T20_00_00_6827_1,US500,H4,8,2026-01-30T04:00:00,persistent_accepted,low,2026-01-05T20:00:00,True
US500_H4_low_2026_01_21T12_00_00_6785_65,US500,H4,8,2026-01-30T04:00:00,candidate_seen,low,2026-01-22T12:00:00,True
US500_H4_high_2025_10_03T16_00_00_6751_97,US500,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-10-06T16:00:00,True
US500_H4_high_2025_10_30T04_00_00_6924_99,US500,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-10-31T04:00:00,True
US500_H4_high_2025_12_05T16_00_00_6896_21,US500,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-12-08T16:00:00,True
US500_H4_high_2025_12_26T16_00_00_6949_95,US500,H4,9,2026-02-23T08:00:00,persistent_seen,high,2025-12-29T16:00:00,True
US500_H4_high_2026_01_13T12_00_00_7001_8,US500,H4,9,2026-02-23T08:00:00,persistent_accepted,high,2026-01-14T12:00:00,True
US500_H4_high_2026_01_28T08_00_00_7017_68,US500,H4,9,2026-02-23T08:00:00,persistent_accepted,high,2026-01-29T08:00:00,True
US500_H4_high_2026_02_11T16_00_00_6995_45,US500,H4,9,2026-02-23T08:00:00,candidate_seen,high,2026-02-12T16:00:00,True
US500_H4_low_2025_08_20T16_00_00_6346_85,US500,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-08-21T16:00:00,True
US500_H4_low_2025_10_10T20_00_00_6496_43,US500,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-10-13T20:00:00,True
US500_H4_low_2025_11_18T16_00_00_6576_4,US500,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-11-19T16:00:00,True
US500_H4_low_2025_12_18T04_00_00_6722_12,US500,H4,9,2026-02-23T08:00:00,persistent_seen,low,2025-12-19T04:00:00,True
US500_H4_low_2026_01_02T20_00_00_6827_1,US500,H4,9,2026-02-23T08:00:00,persistent_seen,low,2026-01-05T20:00:00,True
