candidate_id,source_scope,symbol,timeframe,swing_degree,prominence_vs_window,duration_vs_window,relative_structure_size,scale_fit_label,prominence_policy_label,prominence_score_delta,prominence_warning,should_downgrade_to_auxiliary,should_exclude_for_low_prominence,prominence_policy_reason,is_aus200_required_case,chart_path
hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001,h4_d1,AUDJPY.r,H4,intermediate,0.147978,0.094444,medium_small,not_applicable,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\046_hard_invalid_exp252_forex_audjpy_h4_intermediate_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001,h4_d1,XAGUSD.r,H4,intermediate,0.046715,0.075556,small,not_applicable,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\047_hard_invalid_exp252_metals_xagusd_h4_intermediate_impulse_001.png
hard_invalid_exp252_index_aus200_h4_intermediate_impulse_002,h4_d1,AUS200,H4,intermediate,0.398761,0.082222,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\048_hard_invalid_exp252_index_aus200_h4_intermediate_impulse_002.png
hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001,h4_d1,AUDJPY.r,H4,minor,0.091936,0.056667,small,not_applicable,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\049_hard_invalid_exp252_forex_audjpy_h4_minor_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001,h4_d1,XAGUSD.r,H4,minor,0.025501,0.061111,small,not_applicable,prominence_not_applicable,-8,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\050_hard_invalid_exp252_metals_xagusd_h4_minor_impulse_001.png
hard_invalid_exp252_index_aus200_h4_minor_impulse_002,h4_d1,AUS200,H4,minor,0.398761,0.082222,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\051_hard_invalid_exp252_index_aus200_h4_minor_impulse_002.png
hard_invalid_exp252_forex_audjpy_h4_major_impulse_001,h4_d1,AUDJPY.r,H4,major,0.205604,0.158889,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\052_hard_invalid_exp252_forex_audjpy_h4_major_impulse_001.png
hard_invalid_exp252_metals_xagusd_h4_major_impulse_001,h4_d1,XAGUSD.r,H4,major,0.053223,0.098889,small,not_applicable,prominence_not_applicable,-4,,False,False,no prominence penalty available for this structure; soft_threshold_candidate: prominence_vs_window < 0.18; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\053_hard_invalid_exp252_metals_xagusd_h4_major_impulse_001.png
hard_invalid_exp252_index_aus200_h4_major_impulse_002,h4_d1,AUS200,H4,major,0.398761,0.082222,medium_small,not_applicable,prominence_not_applicable,0,,False,False,no prominence penalty available for this structure; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2_h4_d1_expansion_2026-05-24\charts\negatives\054_hard_invalid_exp252_index_aus200_h4_major_impulse_002.png
impulse_aux252b_forex_audjpy_h1_minor_impulse_007,h1_h4,AUDJPY.r,H1,minor,0.127601,0.035455,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure,-18,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: prominence_vs_window < 0.18; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png
impulse_aux252b_metals_xagusd_h1_minor_impulse_005,h1_h4,XAGUSD.r,H1,minor,0.180173,0.042727,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure,-14,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png
impulse_aux252b_index_aus200_h1_minor_impulse_014,h1_h4,AUS200,H1,minor,0.234923,0.070909,medium_small,better_as_lower_tf_substructure,better_as_lower_tf_substructure,-14,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=medium_small,False,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\003_impulse_aux252b_index_aus200_h1_minor_impulse_014.png
impulse_aux252b_forex_audjpy_h1_minor_impulse_016,h1_h4,AUDJPY.r,H1,minor,0.241024,0.039091,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure,-14,better handled as lower-timeframe substructure,True,False,diagnostic suggests lower timeframe / substructure; soft_threshold_candidate: duration_vs_window < 0.08; relative_structure_size=small,False,artifacts\wavecount\05_guided_profile\phase2_5_2b_h1_h4_aux_2026-05-24\charts\h1_h4_near_misses\004_impulse_aux252b_forex_audjpy_h1_minor_impulse_016.png
