count_id,example_id,group,symbol,timeframe,example_type,swing_degree,pattern_type,count_state,direction,start_pivot_id,end_pivot_id,start_time,end_time,count_detected_at,max_structural_detected_at_used,lookahead_safe,reason,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1,wave4_retrace_of_wave3,wave5_length,wave5_extension_of_wave1,wave5_extension_of_wave3,abc_a_length,abc_b_retrace_of_a,abc_c_length,abc_c_vs_a,major_context_state,major_context_direction,major_context_alignment,major_context_last_pivot_id
metals_ambiguous_xptusd_h1_abc_001,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,abc,candidate_abc,bullish,1,4,2026-03-04 01:00:00,2026-03-05 03:00:00,2026-03-05 06:00:00,2026-03-05 06:00:00,True,basic ABC constraints satisfied,,,,,,,,,121.1899999999996,0.5667959402590959,91.60999999999967,0.7559204554831255,available,bullish,aligned,2
metals_ambiguous_xptusd_h1_abc_002,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,abc,invalidated_count,bearish,2,5,2026-03-04 12:00:00,2026-03-05 22:00:00,2026-03-06 02:00:00,2026-03-06 02:00:00,True,B leg breaks ABC origin; B retracement exceeds configured maximum,,,,,,,,,68.6899999999996,1.3336730237298036,128.01999999999998,1.86373562381716,available,bearish,aligned,3
metals_ambiguous_xptusd_h1_abc_003,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,abc,invalidated_count,bullish,3,6,2026-03-04 20:00:00,2026-03-06 10:00:00,2026-03-06 13:00:00,2026-03-06 13:00:00,True,B leg breaks ABC origin; C leg does not exceed A extreme; B retracement exceeds configured maximum,,,,,,,,,91.60999999999967,1.3974456937015658,80.39000000000033,0.8775242877415197,available,bullish,aligned,4
metals_ambiguous_xptusd_h1_impulse_001,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,impulse,ambiguous_count,bullish,1,6,2026-03-04 01:00:00,2026-03-06 10:00:00,2026-03-06 13:00:00,2026-03-06 13:00:00,True,wave 4 overlaps wave 1 territory; wave 5 fails to exceed wave 3 extreme,121.1899999999996,0.5667959402590959,91.60999999999967,0.7559204554831255,1.3974456937015658,80.39000000000033,0.6633385592870747,0.8775242877415197,,,,,available,bullish,aligned,4
metals_ambiguous_xptusd_h1_abc_004,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,abc,candidate_abc,bearish,4,7,2026-03-05 03:00:00,2026-03-09 04:00:00,2026-03-09 07:00:00,2026-03-09 07:00:00,True,basic ABC constraints satisfied,,,,,,,,,128.01999999999998,0.6279487580065641,149.60000000000014,1.168567411341979,available,bearish,aligned,5
metals_ambiguous_xptusd_h1_impulse_002,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,impulse,invalidated_count,bearish,2,7,2026-03-04 12:00:00,2026-03-09 04:00:00,2026-03-09 07:00:00,2026-03-09 07:00:00,True,wave 2 breaks wave 1 origin; wave 4 overlaps wave 1 territory,68.6899999999996,1.3336730237298036,128.01999999999998,1.86373562381716,0.6279487580065641,149.60000000000014,2.1779007133498474,1.168567411341979,,,,,available,bearish,aligned,5
metals_ambiguous_xptusd_h1_abc_005,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,abc,invalidated_count,bullish,5,8,2026-03-05 22:00:00,2026-03-10 12:00:00,2026-03-10 15:00:00,2026-03-10 15:00:00,True,B leg breaks ABC origin; B retracement exceeds configured maximum,,,,,,,,,80.39000000000033,1.8609279761164266,221.29999999999995,2.7528299539743633,available,bullish,aligned,6
metals_ambiguous_xptusd_h1_impulse_003,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,impulse,invalidated_count,bullish,3,8,2026-03-04 20:00:00,2026-03-10 12:00:00,2026-03-10 15:00:00,2026-03-10 15:00:00,True,wave 2 breaks wave 1 origin; wave 3 does not exceed wave 1 extreme; wave 4 overlaps wave 1 territory; wave 3 is shorter than both wave 1 and wave 5,91.60999999999967,1.3974456937015658,80.39000000000033,0.8775242877415197,1.8609279761164266,221.29999999999995,2.415675144634873,2.7528299539743633,,,,,available,bullish,aligned,6
metals_ambiguous_xptusd_h1_abc_006,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,abc,invalidated_count,bearish,6,9,2026-03-06 10:00:00,2026-03-12 03:00:00,2026-03-12 06:00:00,2026-03-12 06:00:00,True,B leg breaks ABC origin; C leg does not exceed A extreme; B retracement exceeds configured maximum,,,,,,,,,149.60000000000014,1.4792780748663086,109.99000000000024,0.7352272727272736,available,bearish,aligned,7
metals_ambiguous_xptusd_h1_impulse_004,metals_ambiguous_xptusd_h1,Metals,XPTUSD,H1,ambiguous,intermediate,impulse,ambiguous_count,bearish,4,9,2026-03-05 03:00:00,2026-03-12 03:00:00,2026-03-12 06:00:00,2026-03-12 06:00:00,True,wave 4 overlaps wave 1 territory; wave 5 fails to exceed wave 3 extreme,128.01999999999998,0.6279487580065641,149.60000000000014,1.168567411341979,1.4792780748663086,109.99000000000024,0.8591626308389334,0.7352272727272736,,,,,available,bearish,aligned,7
