chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,fibonacci_0_236,Fib 23.6,0.80342796,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,fibonacci_0_382,Fib 38.2,0.80154602,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,fibonacci_0_5,Fib 50,0.800025,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,fibonacci_0_618,Fib 61.8,0.79850398,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,fibonacci_0_786,Fib 78.6,0.79633846,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,fibonacci_1_272,Fib ext 1.272,0.80997608,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,fibonacci_1_618,Fib ext 1.618,0.81443602,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_w1_leg,W1 estudio,,0.80773,0.79144,2026-03-11 20:00:00,2026-03-16 04:00:00,#58e6d3,solid,w1_start_price|w1_end_price,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_w2_directrix,Reg W2 lows estudio,,0.7942999999999999,0.8021000000000005,2026-03-16 04:00:00,2026-03-17 04:00:00,#5ce0ca,dash,w2_low_regression_projected,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_breakout_level,Ruptura estudio,0.8008000000000004,0.8008000000000004,0.8008000000000004,2026-03-16 04:00:00,2026-06-04 21:12:47.522140+00:00,#ffd166,dash,breakout_level,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_sl_study,SL estudio,0.80773,0.80773,0.80773,2026-03-16 04:00:00,2026-06-04 21:12:47.522140+00:00,#ff6b6b,dot,sl_study,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_tp1_study,TP1 estudio,0.7860500000000001,0.7860500000000001,0.7860500000000001,2026-03-16 04:00:00,2026-06-04 21:12:47.522140+00:00,#75d7ff,dot,tp1_study,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_tp2_study,TP2 estudio,0.7759827800000002,0.7759827800000002,0.7759827800000002,2026-03-16 04:00:00,2026-06-04 21:12:47.522140+00:00,#75d7ff,dot,tp2_study,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_recent_breakout_marker,Ruptura reciente,0.8008000000000004,,,,,#f7f7f7,marker,last_breakout_time|breakout_level,False
trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|layers,trading_center_screener_unified_v1|NZDCAD.r|H4|macd_breakout|130,NZDCAD.r,H4,macd_current_price_marker,Precio actual,0.79934,,,,,#f7f7f7,marker,close,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,r2,R2 previo,0.46540333,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,r3,R3 previo,0.46916667,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,s2,S2 previo,0.45376333,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,s3,S3 previo,0.45170667,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,previous_high,Maximo dia previo,0.46164,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,previous_low,Minimo dia previo,0.45582,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,round_level_1,Nivel redondo inferior,0.455,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,round_level_2,Nivel redondo superior,0.46,,,2025-11-18 02:00:00,2026-03-17 09:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_0_0,Fib 0,0.46164,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_1_0,Fib 100,0.45582,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_0_236,Fib 23.6,0.46026648,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_0_382,Fib 38.2,0.45941676,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_0_5,Fib 50,0.45873,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_0_618,Fib 61.8,0.45804324,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_0_786,Fib 78.6,0.45706548,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_1_272,Fib ext 1.272,0.46322304,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,fibonacci_1_618,Fib ext 1.618,0.46523676,,,2026-03-02 14:00:00,2026-03-17 09:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,macd_w1_leg,W1 estudio,,0.46263,0.45656,2026-03-11 00:00:00,2026-03-16 04:00:00,#58e6d3,solid,w1_start_price|w1_end_price,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,macd_w2_retracement,W2 estudio,,0.45656,0.46154,2026-03-16 04:00:00,2026-03-17 09:00:00,#f4b740,solid,w1_end_price|w2_swing_price,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,macd_w2_directrix,Reg W2 lows estudio,,0.4581734769230771,0.4622009076923075,2026-03-16 04:00:00,2026-03-17 09:00:00,#5ce0ca,dash,w2_low_regression_projected,False
trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|layers,trading_center_screener_unified_v1|NZDCHF.r|H1|macd_breakout|538,NZDCHF.r,H1,macd_breakout_level,Ruptura estudio,0.4616453999999998,0.4616453999999998,0.4616453999999998,2026-03-16 04:00:00,2026-06-04 21:12:47.551265+00:00,#ffd166,dash,breakout_level,False
