timeframe,asset_1,asset_2,pair,metric,window,latest_corr,previous_corr,delta_prev,mean_corr,latest_abs,obs,is_read_only,can_execute_order,signals_generated
M15,AUDCAD.r,UK100,AUDCAD.r | UK100,dcor,96,0.621197,0.48433,0.136867,0.552763,0.621197,80,True,False,False
M15,AUDCAD.r,US100,AUDCAD.r | US100,pearson,96,0.508791,0.549105,-0.040314,0.528948,0.508791,96,True,False,False
M15,AUDCAD.r,US100,AUDCAD.r | US100,spearman,96,0.618593,0.600203,0.018389,0.609398,0.618593,96,True,False,False
M15,AUDCAD.r,US100,AUDCAD.r | US100,kendall,96,0.435793,0.431579,0.004214,0.433686,0.435793,96,True,False,False
M15,AUDCAD.r,US100,AUDCAD.r | US100,dcor,96,0.620074,0.540737,0.079337,0.580406,0.620074,80,True,False,False
M15,AUDCAD.r,US30,AUDCAD.r | US30,pearson,96,0.501137,0.506064,-0.004927,0.503601,0.501137,96,True,False,False
M15,AUDCAD.r,US30,AUDCAD.r | US30,spearman,96,0.633324,0.586272,0.047052,0.609798,0.633324,96,True,False,False
M15,AUDCAD.r,US30,AUDCAD.r | US30,kendall,96,0.44676,0.424561,0.022198,0.43566,0.44676,96,True,False,False
M15,AUDCAD.r,US30,AUDCAD.r | US30,dcor,96,0.6176,0.50533,0.11227,0.561465,0.6176,80,True,False,False
M15,AUDCAD.r,US500,AUDCAD.r | US500,pearson,96,0.517639,0.544023,-0.026383,0.530831,0.517639,96,True,False,False
M15,AUDCAD.r,US500,AUDCAD.r | US500,spearman,96,0.640439,0.594345,0.046093,0.617392,0.640439,96,True,False,False
M15,AUDCAD.r,US500,AUDCAD.r | US500,kendall,96,0.451585,0.424389,0.027196,0.437987,0.451585,96,True,False,False
M15,AUDCAD.r,US500,AUDCAD.r | US500,dcor,96,0.634747,0.536,0.098747,0.585374,0.634747,80,True,False,False
M15,AUDCAD.r,USDCAD.r,AUDCAD.r | USDCAD.r,pearson,96,-0.235495,0.339979,-0.575474,0.052242,0.235495,96,True,False,False
M15,AUDCAD.r,USDCAD.r,AUDCAD.r | USDCAD.r,spearman,96,-0.250523,-0.062602,-0.187921,-0.156562,0.250523,96,True,False,False
M15,AUDCAD.r,USDCAD.r,AUDCAD.r | USDCAD.r,kendall,96,-0.172607,-0.055702,-0.116905,-0.114154,0.172607,96,True,False,False
M15,AUDCAD.r,USDCAD.r,AUDCAD.r | USDCAD.r,dcor,96,0.343628,0.281373,0.062255,0.3125,0.343628,80,True,False,False
M15,AUDCAD.r,USDCHF.r,AUDCAD.r | USDCHF.r,pearson,96,-0.355044,-0.386352,0.031309,-0.370698,0.355044,96,True,False,False
M15,AUDCAD.r,USDCHF.r,AUDCAD.r | USDCHF.r,spearman,96,-0.425071,-0.572825,0.147754,-0.498948,0.425071,96,True,False,False
M15,AUDCAD.r,USDCHF.r,AUDCAD.r | USDCHF.r,kendall,96,-0.298311,-0.415616,0.117305,-0.356963,0.298311,96,True,False,False
M15,AUDCAD.r,USDCHF.r,AUDCAD.r | USDCHF.r,dcor,96,0.424188,0.493385,-0.069197,0.458786,0.424188,80,True,False,False
M15,AUDCAD.r,USDHKD.r,AUDCAD.r | USDHKD.r,pearson,96,-0.060676,0.091275,-0.151951,0.0153,0.060676,96,True,False,False
M15,AUDCAD.r,USDHKD.r,AUDCAD.r | USDHKD.r,spearman,96,-0.059686,-0.033953,-0.025733,-0.04682,0.059686,96,True,False,False
M15,AUDCAD.r,USDHKD.r,AUDCAD.r | USDHKD.r,kendall,96,-0.045195,-0.024567,-0.020628,-0.034881,0.045195,96,True,False,False
M15,AUDCAD.r,USDHKD.r,AUDCAD.r | USDHKD.r,dcor,96,0.199535,0.213071,-0.013536,0.206303,0.199535,80,True,False,False
M15,AUDCAD.r,USDJPY,AUDCAD.r | USDJPY,pearson,96,-0.33003,-0.40156,0.071529,-0.365795,0.33003,96,True,False,False
