partial_id,example_id,group,symbol,timeframe,example_type,swing_degree,diagnostic_type,partial_status,direction,start_pivot_id,end_pivot_id,start_time,end_time,partial_detected_at,max_structural_detected_at_used,lookahead_safe,hard_reasons,soft_reasons,failure_reasons,wave1_length,wave2_retrace_of_wave1,wave3_length,wave3_extension_of_wave1
index_gap_aus200_m30_intermediate_partial123_004,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bullish,4,7,2026-03-10 17:00:00,2026-03-11 22:30:00,2026-03-12 02:30:00,2026-03-12 02:30:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,104.0,1.564423076923084,50.0,0.4807692307692308
index_gap_aus200_m30_intermediate_partial123_005,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_candidate,bearish,5,8,2026-03-10 20:00:00,2026-03-12 06:30:00,2026-03-12 08:00:00,2026-03-12 08:00:00,True,,,,162.70000000000073,0.3073140749846329,89.5,0.5500921942224929
index_gap_aus200_m30_intermediate_partial123_006,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bullish,6,9,2026-03-11 19:00:00,2026-03-12 14:30:00,2026-03-12 16:00:00,2026-03-12 16:00:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,50.0,1.79,104.0,2.08
index_gap_aus200_m30_intermediate_partial123_007,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bearish,7,10,2026-03-11 22:30:00,2026-03-12 18:00:00,2026-03-12 19:30:00,2026-03-12 19:30:00,True,wave 2 breaks wave 1 origin,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 2 retracement is visually too deep,89.5,1.1620111731843576,131.0,1.4636871508379887
index_gap_aus200_m30_intermediate_partial123_008,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bullish,8,11,2026-03-12 06:30:00,2026-03-13 04:00:00,2026-03-13 05:30:00,2026-03-13 05:30:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,104.0,1.2596153846153846,101.30000000000109,0.9740384615384721
index_gap_aus200_m30_intermediate_partial123_009,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_candidate,bearish,9,12,2026-03-12 14:30:00,2026-03-13 11:00:00,2026-03-13 12:30:00,2026-03-13 12:30:00,True,,,,131.0,0.7732824427481,159.0,1.213740458015267
index_gap_aus200_m30_intermediate_partial123_010,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bullish,10,13,2026-03-12 18:00:00,2026-03-13 16:30:00,2026-03-13 18:00:00,2026-03-13 18:00:00,True,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme,wave 2 retracement is visually too deep,wave 2 breaks wave 1 origin | wave 3 does not exceed wave 1 extreme | wave 2 retracement is visually too deep,101.30000000000109,1.5695952615991933,141.0,1.3919052319841902
index_gap_aus200_m30_intermediate_partial123_011,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bearish,11,14,2026-03-13 04:00:00,2026-03-13 22:30:00,2026-03-16 02:30:00,2026-03-16 02:30:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,159.0,0.8867924528301887,114.0,0.7169811320754716
index_gap_aus200_m30_intermediate_partial123_012,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bullish,12,15,2026-03-13 11:00:00,2026-03-16 03:30:00,2026-03-16 05:00:00,2026-03-16 05:00:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,141.0,0.8085106382978723,89.10000000000036,0.6319148936170239
index_gap_aus200_m30_intermediate_partial123_013,index_gap_aus200_m30,Index,AUS200,M30,gap,intermediate,partial_impulse_123,partial_123_invalid,bearish,13,16,2026-03-13 16:30:00,2026-03-16 12:30:00,2026-03-16 14:00:00,2026-03-16 14:00:00,True,wave 3 does not exceed wave 1 extreme,,wave 3 does not exceed wave 1 extreme,114.0,0.7815789473684243,86.0,0.7543859649122807
